#SampleID	Source	MouseID	Abx
SRR515153	cecal	C1	Control
SRR521204	fecal	C1	Control
SRR521173	cecal	C10	Control
SRR521202	fecal	C10	Control
SRR518987	cecal	C2	Control
SRR521223	fecal	C2	Control
SRR521172	cecal	C3	Control
SRR521208	fecal	C3	Control
SRR521194	cecal	C4	Control
SRR521209	fecal	C4	Control
SRR521193	cecal	C5	Control
SRR521216	fecal	C5	Control
SRR521185	cecal	C6	Control
SRR521217	fecal	C6	Control
SRR521179	cecal	C7	Control
SRR521206	fecal	C7	Control
SRR521186	cecal	C8	Control
SRR521201	fecal	C8	Control
SRR521191	cecal	C9	Control
SRR521224	fecal	C9	Control
SRR521198	cecal	P1	Penicillin
SRR521229	fecal	P1	Penicillin
SRR521174	cecal	P10	Penicillin
SRR521264	fecal	P10	Penicillin
SRR521196	cecal	P2	Penicillin
SRR521259	fecal	P2	Penicillin
SRR521190	cecal	P3	Penicillin
SRR521263	fecal	P3	Penicillin
SRR521177	cecal	P4	Penicillin
SRR521240	fecal	P4	Penicillin
SRR521178	cecal	P5	Penicillin
SRR521200	cecal	P6	Penicillin
SRR521241	fecal	P6	Penicillin
SRR521197	cecal	P7	Penicillin
SRR521237	fecal	P7	Penicillin
SRR521183	cecal	P8	Penicillin
SRR521236	fecal	P8	Penicillin
SRR521188	cecal	P9	Penicillin
SRR521247	fecal	P9	Penicillin
SRR521212	cecal	T1	Chlortetracycline
SRR521255	fecal	T1	Chlortetracycline
SRR521221	cecal	T10	Chlortetracycline
SRR521265	fecal	T10	Chlortetracycline
SRR521210	cecal	T2	Chlortetracycline
SRR521256	fecal	T2	Chlortetracycline
SRR521203	cecal	T3	Chlortetracycline
SRR521245	fecal	T3	Chlortetracycline
SRR521251	fecal	T4	Chlortetracycline
SRR521219	cecal	T5	Chlortetracycline
SRR521215	cecal	T6	Chlortetracycline
SRR521233	fecal	T6	Chlortetracycline
SRR521211	cecal	T7	Chlortetracycline
SRR521232	fecal	T7	Chlortetracycline
SRR521225	cecal	T8	Chlortetracycline
SRR521242	fecal	T8	Chlortetracycline
SRR521228	cecal	T9	Chlortetracycline
SRR521249	fecal	T9	Chlortetracycline
SRR521182	cecal	V1	Vancomycin
SRR521262	fecal	V1	Vancomycin
SRR521180	cecal	V10	Vancomycin
SRR521248	fecal	V10	Vancomycin
SRR521195	cecal	V2	Vancomycin
SRR521260	fecal	V2	Vancomycin
SRR521199	cecal	V3	Vancomycin
SRR521261	fecal	V3	Vancomycin
SRR521175	cecal	V4	Vancomycin
SRR521231	fecal	V4	Vancomycin
SRR521176	cecal	V5	Vancomycin
SRR521244	fecal	V5	Vancomycin
SRR521192	cecal	V6	Vancomycin
SRR521254	fecal	V6	Vancomycin
SRR521189	cecal	V7	Vancomycin
SRR521257	fecal	V7	Vancomycin
SRR521181	cecal	V8	Vancomycin
SRR521258	fecal	V8	Vancomycin
SRR521184	cecal	V9	Vancomycin
SRR521238	fecal	V9	Vancomycin
SRR521187	cecal	VP1	VancomycinPenicillin
SRR521234	fecal	VP1	VancomycinPenicillin
SRR521239	fecal	VP10	VancomycinPenicillin
SRR521250	cecal	VP10	VancomycinPenicillin
SRR521222	cecal	VP2	VancomycinPenicillin
SRR521235	fecal	VP2	VancomycinPenicillin
SRR521220	cecal	VP3	VancomycinPenicillin
SRR521252	fecal	VP3	VancomycinPenicillin
SRR521213	cecal	VP4	VancomycinPenicillin
SRR521246	fecal	VP4	VancomycinPenicillin
SRR521214	cecal	VP5	VancomycinPenicillin
SRR521226	cecal	VP6	VancomycinPenicillin
SRR521227	cecal	VP7	VancomycinPenicillin
SRR521230	fecal	VP7	VancomycinPenicillin
SRR521205	cecal	VP8	VancomycinPenicillin
SRR521253	fecal	VP8	VancomycinPenicillin
SRR521207	cecal	VP9	VancomycinPenicillin
SRR521243	fecal	VP9	VancomycinPenicillin
