#OTU ID	SRR521257	SRR521243	SRR521217	SRR521246	SRR521191	SRR521173	SRR521204	SRR521185	SRR521251	SRR521252	SRR521193	SRR521230	SRR521229	SRR521220	SRR521175	SRR521227	SRR521186	SRR521215	SRR521222	SRR521242	SRR521221	SRR521250	SRR521178	SRR521199	SRR521233	SRR521224	SRR521187	SRR518987	SRR515153	SRR521198	SRR521206	SRR521177	SRR521241	SRR521216	SRR521261	SRR521181	SRR521245	SRR521248	SRR521201	SRR521236	SRR521188	SRR521265	SRR521211	SRR521254	SRR521219	SRR521184	SRR521196	SRR521205	SRR521213	SRR521208	SRR521214	SRR521263	SRR521174	SRR521259	SRR521195	SRR521189	SRR521247	SRR521212	SRR521180	SRR521238	SRR521225	SRR521194	SRR521234	SRR521255	SRR521209	SRR521172	SRR521207	SRR521190	SRR521232	SRR521256	SRR521262	SRR521226	SRR521264	SRR521192	SRR521179	SRR521244	SRR521237	SRR521223	SRR521197	SRR521176	SRR521235	SRR521253	SRR521202	SRR521260	SRR521183	SRR521210	SRR521231	SRR521182	SRR521200	SRR521203	SRR521258	SRR521239	SRR521240	SRR521249	SRR521228
NR_113081.1_Porphyromonas_cansulci_strain_JCM_13913_16S_ribosomal_RNA_gene__partial_sequence	2	0	1	1	0	0	3	1	0	0	2	3	3	0	1	0	0	1	0	10	2	0	2	1	3	2	0	1	3	1	1	0	2	3	3	0	3	2	1	0	1	3	3	0	1	1	3	2	2	2	1	0	0	0	1	0	6	1	1	1	0	2	2	2	1	0	2	0	3	2	2	1	1	2	1	0	2	1	0	0	2	1	0	2	2	0	1	0	2	0	5	2	0	3	0
NR_074376.1_Parabacteroides_distasonis_strain_ATCC_8503_16S_ribosomal_RNA_gene__complete_sequence	23	15	17	35	6	4	29	5	11	14	13	15	22	11	12	12	18	5	12	25	8	21	5	8	17	22	21	10	13	4	13	19	28	20	27	1	17	18	18	16	10	17	7	19	6	8	13	5	14	20	26	22	16	30	11	7	29	9	2	14	7	21	23	8	29	14	13	13	9	18	24	3	10	7	9	24	28	36	18	8	11	25	18	14	3	19	22	4	6	14	13	22	10	8	0
NR_041343.1_Parabacteroides_merdae_strain_JCM_9497_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NR_026151.1_{Clostridium}_colinum_strain_DSM_6011_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	19	0	0	17	0	1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
NR_025206.1_Hespellia_porcina_strain_PC80_16S_ribosomal_RNA_gene__partial_sequence	2	1	0	1	10	8	0	17	1	7	6	2	2	5	1	2	6	16	3	4	14	0	1	2	5	0	9	4	11	4	0	2	2	4	0	26	7	3	3	6	5	0	12	5	7	20	2	1	9	0	5	3	10	1	2	16	0	3	18	0	16	6	1	5	0	12	3	1	0	2	0	2	6	8	9	0	3	1	7	2	3	1	0	0	13	0	0	1	7	6	0	1	0	4	0
NR_024993.1_{Clostridium}_fimetarium_strain_Z-2189_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024642.1_Lelliottia_amnigena_strain_JCM1237_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024640.1_Enterobacter_asburiae_strain_JCM6051_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024676.1_Micropruina_glycogenica_strain_Lg2_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NR_024919.1_Clostridium_frigidicarnis_strain_SPL77A_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025079.1_Desulfomonile_limimaris_strain_DCB-M_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025025.1_Papillibacter_cinnamivorans_strain_CIN1_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025127.1_Lachnobacterium_bovis_strain_LRC_5382_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025257.1_Desulfonauticus_submarinus_strain_6N_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025256.1_Anoxynatronum_sibiricum_strain_Z-7981_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025931.1_Ruminococcus_flavefaciens_strain_C94_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	3	1	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	3	34	0	1	0	0	3	0	0	1	0	0	1	19	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	11	0	2	0	0	0	10	0	0	6	12	0	0	0	0	0	0
NR_025651.1_{Clostridium}_lactatifermentans_strain_G17_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
NR_025670.1_Pseudoflavonifractor_capillosus_strain_ATCC_29799_16S_ribosomal_RNA_gene__partial_sequence	0	2	0	0	0	3	0	3	0	2	3	3	0	0	1	3	1	0	0	0	1	2	2	0	0	0	0	1	4	1	0	4	0	1	1	3	4	0	1	0	2	0	0	0	1	5	1	1	0	0	3	3	0	0	1	4	0	0	4	0	3	2	0	0	0	0	0	0	0	0	1	1	0	1	1	2	0	0	0	1	0	1	2	2	0	0	0	1	0	1	0	2	1	0	0
NR_025915.1_Azoarcus_toluvorans_strain_Td-21_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025688.1_Garciella_nitratireducens_strain_Met_79_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_025917.1_Acetivibrio_cellulolyticus_strain_CD2_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
