#OTU ID	SRR521257	SRR521243	SRR521217	SRR521246	SRR521191	SRR521173	SRR521204	SRR521185	SRR521251	SRR521252	SRR521193	SRR521230	SRR521229	SRR521220	SRR521175	SRR521227	SRR521186	SRR521215	SRR521222	SRR521242	SRR521221	SRR521250	SRR521178	SRR521199	SRR521233	SRR521224	SRR521187	SRR518987	SRR515153	SRR521198	SRR521206	SRR521177	SRR521241	SRR521216	SRR521261	SRR521181	SRR521245	SRR521248	SRR521201	SRR521236	SRR521188	SRR521265	SRR521211	SRR521254	SRR521219	SRR521184	SRR521196	SRR521205	SRR521213	SRR521208	SRR521214	SRR521263	SRR521174	SRR521259	SRR521195	SRR521189	SRR521247	SRR521212	SRR521180	SRR521238	SRR521225	SRR521194	SRR521234	SRR521255	SRR521209	SRR521172	SRR521207	SRR521190	SRR521232	SRR521256	SRR521262	SRR521226	SRR521264	SRR521192	SRR521179	SRR521244	SRR521237	SRR521223	SRR521197	SRR521176	SRR521235	SRR521253	SRR521202	SRR521260	SRR521183	SRR521210	SRR521231	SRR521182	SRR521200	SRR521203	SRR521258	SRR521239	SRR521240	SRR521249	SRR521228
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas	3	1	4	4	2	0	3	2	0	4	2	5	5	0	2	0	1	1	0	15	0	3	2	0	7	5	4	2	1	0	3	1	3	2	0	0	4	3	4	0	1	3	4	1	1	3	1	2	0	4	0	1	0	2	2	0	5	1	2	1	1	3	3	4	4	2	1	3	1	6	0	1	3	1	0	4	1	2	0	2	1	1	1	1	0	1	2	0	1	1	5	2	1	3	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	22	21	32	30	24	16	29	18	13	26	19	23	27	13	19	26	21	17	19	48	18	26	20	16	28	27	25	12	27	14	28	13	33	29	25	8	34	25	27	16	26	37	19	15	10	16	24	13	14	20	24	18	18	32	13	17	24	27	12	27	9	16	27	18	38	29	21	17	22	26	22	20	15	13	19	23	22	32	17	14	29	19	26	29	17	19	36	14	15	18	24	27	29	19	1
k__Bacteria;p__Bacteroidetes	6	3	11	14	11	3	4	9	1	2	9	4	6	6	6	8	13	4	5	5	3	14	8	4	5	4	15	7	6	5	4	6	4	7	4	6	5	5	3	2	10	11	3	4	10	9	6	4	5	5	8	5	11	7	5	9	4	7	5	2	5	3	8	1	4	4	10	9	9	7	2	6	2	13	10	4	3	8	5	7	5	2	4	5	4	16	2	5	5	11	13	5	9	4	0
k__Bacteria	1	0	2	0	4	4	1	4	0	4	6	3	1	5	2	8	4	8	3	4	5	1	2	0	5	1	5	6	3	3	0	4	2	5	0	8	0	1	0	0	4	0	2	1	1	3	5	8	6	1	5	1	2	3	4	6	3	5	2	0	3	2	1	0	1	3	9	6	1	0	2	10	1	4	1	0	1	0	3	3	5	0	0	1	2	4	0	4	1	3	0	2	0	5	1
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
k__Bacteria;p__Actinobacteria	0	1	0	2	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae;g__Dermacoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Kineosporiales;f__Kineosporiaceae;g__Angustibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
