#OTU ID	E19.393126	E14.393108	D34.393152	E30.393091	D43.393029	D52.6m.393073	D6.393059	D13.b.393109	D9.b.393024	D36.393034	F39.393044	D13.a.393151	F8.392959	F54.xAa.392971	D55.6m.393150	D37.393112	D53.393097	D54.393137	F52.xB.393134	D7.393009	F53.xAa.392989	D37.5n.393100	D56.392999	D42.5n.392965	D52.392969	F52.xA5n.393128	F52.xAb.393065	D10.b.393074	E46.392982	D36.5n.392955	F42.393052	D22.5n.393054	F6.393012	F53.xB.393033	D24.393019	D1.393095	D5.392980	F17.393154	D46.393032	D50.393155	D48.5n.393138	D47.393049	D45.392997	D46.5n.393023	D48.393053	D35.393047	D21.5n.392974	D49.392993	E7.393035	F23.392985	F10.392986	E11.b.393106	E17.b.393011	D21.a.393001	E16.a.393116	F43.392978	D33.393064	E31.393098	E1.392958	E21.393092	D40.5n.393010	F22.393105	D32.392957	E50.393121	E6.393046	E51.392992	D55.393021	F16.392966	E10.393119	F38.392977	D18.6m.393070	D2.393107	F9.393057	F54.xAb.393017	D56.6m.393061	D53.6m.393115	D38.393080	E52.393013	D42.393130	F52.xAa.393143	D8.393124	F54.xB.393101	D15.b.393025	D41.392964	F45.5n.393125	D11.b.392956	E25.393004	D9.5n.392973	D19.5n.393000	D28.393022	F46.392987	D4.393142	E12.393141	E4.393060	F7.393045	F26.393062	D15.a.392972	D3.393129	F34.393156	D39.393153	F2.393038	F35.393016	D40.393027	D10.a.393084	D9.a.393068	D22.393118	E13.393149	E18.393089	F32.392983	F33.393018	F30.393015	D20.393127	E17.a.392998	E11.a.392976	F3.393113	D51.6m.392990	F24.393090	F17.5n.393102	F25.393043	D29.393071	E36.393087	E41.393051	F36.393081	E35.393077	D17.392970	D12.392988	F41.393020	D16.a.393131	E23.393135	E52.393008	F53.xAb.393123	F40.393099	D26.392975	E9.393139	E38.392961	F37.392981	D21.b.393031	D31.393093	F5.393056	D11.a.392963	F47.393103	E26.392994	D18.393069	D10.5n.393082	F20.393132	E5.393088	E32.393085	E3.393133	F24.5n.393079	F21.393041	E37.393006	E28.393026	D19.a.393146	F14.393037	D15.5n.393148	D27.393075	E24.393014	E22.393067	E27.393110	F44.393157	F45.393039	F29.393147	F27.393136	D16.b.393030	F28.393055	F31.393028	E45.392984	E49.393145	E29.393048	E48.393111	E34.393050	E20.392995	E33.393096	E8.393058	D14.393072	E40.393144	E42.393003	D19.b.393086	E47.393083	F40.5n.393040	D30.392996	F19.393042	E44.392991	F11.393140	D13.5n.393036	E43.393078	F18.393066	F4.392979	D25.393117	F13.392967	F1.393076	F12.393104	E2.393114	F48.393005	F51.393007	E39.393094	F15.392968	F49.392962	F11.5n.393122	D23.392960	F50.393120	D51.393063	E16.b.393002
216111	1117	20	16	233	65	8	25	10	44	20	1	20	16	17	44	45	20	15	31	10	72	50	29	42	19	11	9	9	37	40	5	4	27	33	0	3	5	2	21	14	50	12	7	31	16	38	3	7	112	16	45	35	47	8	28	0	40	88	55	259	77	20	12	96	136	130	29	27	37	3	6	0	24	33	10	9	50	13	31	27	15	20	0	95	2	5	161	44	0	12	3	46	22	11	15	0	0	6	10	26	7	8	58	2	54	2	14	91	5	15	0	2	46	41	0	6	14	20	0	14	65	15	7	79	19	24	3	4	190	75	44	7	3	8	74	13	2	1	1	2	3	156	8	0	26	337	108	161	21	19	93	24	0	38	0	2	182	282	131	0	0	0	0	5	0	10	24	198	45	179	98	468	85	37	0	20	68	9	26	2	22	4	24	17	16	30	13	9	0	20	5	10	289	0	0	45	22	9	11	0	9	0	0
214450	0	276	0	0	0	0	0	0	311	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	8	3	0	0	0	3	0	1	1	4	3	2	0	0	2	1	1	2	0	0	0	118	82	0	83	2	0	0	234	0	0	1	0	0	0	0	0	0	559	1	5	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	125	2	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	311	0	208	97	0	0	0	0	63	240	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
196713	1	22	38	7	143	68	58	5	80	24	15	15	175	25	102	135	94	31	87	43	80	113	68	114	61	24	24	10	49	35	17	6	85	41	5	10	37	22	32	36	60	30	12	29	57	78	2	20	84	22	34	32	43	26	41	19	44	4	38	0	103	30	17	20	92	27	109	16	18	16	11	2	107	63	41	25	66	22	123	57	60	57	0	115	34	12	5	76	9	1	57	28	19	34	43	0	0	12	32	38	21	68	28	10	74	12	52	42	13	41	17	2	27	31	6	33	14	86	1	10	60	24	25	135	11	27	19	17	1	45	30	19	57	21	50	27	3	8	5	12	92	2	15	4	33	23	1	2	20	19	123	67	3	16	0	8	1	3	1	21	12	16	0	14	0	26	79	10	0	17	66	0	186	50	0	30	44	14	30	23	14	5	3	17	21	24	32	11	8	14	15	5	1	2	2	48	13	1	17	0	6	0	0
189334	0	12	18	0	40	14	8	26	22	16	4	40	0	6	1	16	21	0	26	7	38	13	11	1	8	12	18	11	0	21	2	6	22	14	0	5	9	0	7	9	12	4	4	15	2	18	3	4	1	29	0	38	33	2	11	2	17	2	44	0	0	10	12	0	1	1	0	1	27	2	1	0	2	11	4	1	25	4	0	15	6	8	0	0	0	3	0	33	3	0	0	3	23	3	12	0	0	0	15	15	8	23	0	0	25	6	28	34	8	19	4	5	9	25	1	6	23	7	0	0	1	1	10	0	9	11	4	2	0	0	3	4	0	0	0	8	0	0	0	3	0	0	10	0	6	0	0	0	27	3	2	21	1	0	0	0	0	0	0	0	0	2	0	6	0	8	1	0	0	0	0	0	0	1	0	0	0	7	0	4	0	3	0	0	11	0	13	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167609	0	4	0	0	0	0	0	18	32	0	46	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	165	60	0	0	0	96	0	34	0	0	0	0	0	0	0	0	344	0	0	37	14	25	1	36	1	142	0	6	0	0	0	2	0	0	0	0	0	19	5	55	18	32	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	35	14	0	0	0	15	0	0	1	0	0	0	0	17	1	0	1	244	11	8	2	0	0	0	1	4	10	0	0	32	65	0	0	2	0	78	44	0	2	17	0	0	0	0	14	0	3	0	124	11	0	0	16	0	0	13	32	5	0	0	0	56	1	6	0	8	9	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	23	0	4	0	1	3	0	6	7	0	0	6	0	0	0	0	0	11	0	0	1	0	0	0
1105814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1059729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1029949	0	540	214	0	849	221	155	2	708	161	35	7	4	384	160	94	226	21	224	183	317	92	194	2	478	40	134	7	1	287	100	6	361	475	0	2	169	67	240	564	569	144	308	149	168	531	31	175	0	54	0	1056	717	10	1140	37	218	0	930	1	1	77	305	0	2	0	10	327	695	34	1	8	296	765	126	218	177	105	0	185	327	155	0	9	0	5	0	480	1	6	0	71	1225	2	438	2	0	1	9	151	33	13	92	1	483	5	723	276	3	10	0	34	947	766	0	240	46	103	1	2	0	1	105	5	88	4	109	0	0	0	140	82	0	0	8	66	6	2	3	3	0	0	30	1	78	0	0	0	81	62	0	0	2	255	0	0	0	0	0	0	0	0	1	0	0	13	12	0	0	0	9	0	0	0	0	0	1	35	0	145	51	17	3	0	5	4	32	83	0	256	0	110	0	0	5	1	188	5	131	0	140	0	0
101860	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
1007180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100198	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
