#OTU ID	82S3MNBY.518050	C0241.T.518067	OTGGZN5Y.518063	OTGGZAZO.518108	C0240.N.518020	QFHRSNIH.518116	C0195.N.518110	5TA9VAT9.518088	5TA9VN6K.518161	C0374.N.518099	C0241.N.518043	UZ65XN27.518028	C0195.T.517986	82S3MAZ4.518145	59S9WAIH.518013	C0252.N.518016	C0275.T.518032	C0378.N.518158	C10.S.517995	C0371.N.518009	C0398.N.518152	C0344.N.518103	C0285.N.518084	C0294.N.517987	C0395.T.518075	GQ6LSNI6.518106	C0325.T.518083	C0315.N.518021	C0270.T.518163	C0366.N.518094	C0258.T.517997	C0349.N.517989	6G2KBNS6.518045	C0134.N.518072	JIDZEAPD.518149	C0399.N.518011	C0395.N.518054	LRQ9WN6C.518048	C0154.N.518002	C0349.T.518111	C0206.N.518065	C0355.T.518157	R8J9ZAGC.518059	TV28INUO.518004	C0225.N.518047	59S9WNC6.518055	C4.S.518169	UEL2GN92.518058	6G2KBASQ.517999	C0311.T.518131	G2OD5N55.518146	C0341.N.518101	C0394.N.518031	5EKFOAO4.518164	UEL2GAPI.518173	C0306.T.518122	KIXFRARY.518160	UZ65XAS5.518119	R8J9ZNOW.518040	C0371.T.518139	C0399.T.518153	C0285.T.518044	C0282.N.518138	C0335.N.518107	C0271.N.518022	C0269.N.518130	C0374.T.518127	C4.T.518118	C0268.N.518089	C0258.N.518014	C0230.N.517992	C0366.T.518172	KIXFRNL2.518129	C0322.N.518165	C0388.N.518136	C0230.T.518144	C0134.T.517988	C0186.N.518143	XZ33PA3O.518135	C0225.T.518033	5EKFONB3.518125	C0159.N.518042	HZIMMNL5.518062	C0362.N.518069	C0095.N.518123	MQETMNL4.518037	C0211.T.518096	GQ6LSABJ.518010	C0344.T.518029	C0341.T.518113	HZIMMAM6.518095	C0095.T.518141	C0198.N.518081	C0149.T.518132	C0294.T.518134	C0362.T.518026	JIDZEN4J.518073	C0318.T.518140	LRQ9WAHA.518036	C0149.N.518039	C0332.T.518017	C0308.N.518154	G2OD5ABL.518057	C0355.N.518077	C0388.T.518015	C0133.N.518051	C0318.N.518105	C0269.T.518150	C0198.T.518166	C0212.T.518155	C0325.N.518109	MQETMAZC.518171	C0342.N.518068	C0245.T.518151	32I9UNA9.518098	TV28IANZ.518070	C0378.T.518104	38U4VNBW.518090	A8A34NCW.518023	C0330.N.518148	41E1KAMA.517991	O436FAO8.518097	32I9UAPQ.518112	C0159.T.518087	G3UBQNDP.518121	C0256.N.518170	C0212.N.518167	C6.S.518082	MQE9OAS7.518008	A8A34AP9.518086	C0268.T.518114	C0209.T.518128	C0240.T.518052	C0330.T.518035	G3UBQAJU.518060	C0306.N.518003	QFHRSAG2.518005	UTWNWANU.518168	XBS5MA8H.517990	38U4VAHB.518100	BFJMKAKB.518159	C0209.N.517984	MQE9ONGV.518038	C0333.N.518126	YOTV6NC8.518156	C0271.T.518078	C0133.T.518133	C0334.N.518066	C0206.T.518053	C1.T.518120	C0211.N.518117	XZ33PN7O.518030	C0334.T.518147	C0342.T.518093	C0333.T.518046	C10.T.518056	YOTV6ASH.518142	C0252.T.518006	C0282.T.518000	I7ROLN9P.518079	C0394.T.518064	C0112.T.518024	C0186.T.518019	C0270.N.518041	C0311.N.518124	C0322.T.518018	C0335.T.518115	C0256.T.518080	C0275.N.518076	41E1KNBP.517985	XBS5MNEH.518074	C0112.N.518001	UTWNWN3P.518012	8XBKGN9F.518085	C0154.T.518091	C0308.T.518162	C0332.N.518027	C6.T.518061	C0235.T.518049	C1.S.518137	C0235.N.517993	C0245.N.518071	C0315.T.518034	BFJMKNMP.518102	8XBKGABK.517998	C0314.T.518025	O436FNP3.518007	C0398.T.518092	C3.S.517996	C3.T.517994
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus	227	1	179	19	0	12	0	0	2	0	1	185	0	447	0	44	3	24	2	2	0	1	1	25	2	6	0	0	0	0	0	0	1	9	8	0	1	3	1	0	8	0	4	6	0	0	7	1	0	0	0	2	3	0	1	1	229	55	2	1	0	0	12	1	287	22	2	0	3	1	1	0	1	4	8	0	0	0	0	0	1	6	0	0	0	0	2	4	1	2	0	0	0	7	3	0	6	6	136	16	0	47	2	1	1	5	38	7	0	0	2	0	64	18	0	0	3	2	2	1	3	0	0	3	0	1	0	0	0	6	2	0	1	0	0	0	6	0	0	3	0	0	11	27	9	34	0	3	0	8	1	20	0	9	2	0	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	20	0	8	0	0	2	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella stercorea;t__Prevotella stercorea DSM 18206	406	344	739	1334	582	266	1551	983	1886	0	1842	268	169	212	421	308	1	76	0	0	2	0	0	3	0	0	0	0	1	0	0	0	0	1259	0	1	0	0	0	0	1	0	0	5	11	252	0	11	2	34	0	0	20	0	0	0	215	128	0	1	0	0	6	0	11	3	0	0	163	3	62	0	0	0	0	93	745	0	0	0	1	0	0	0	0	1	1	0	0	0	0	9	128	3	0	0	0	0	137	5	0	0	0	0	1	23	0	0	0	1	1	0	0	0	0	0	0	0	22	0	0	0	0	0	1	25	2	0	0	41	5	236	864	0	0	0	140	0	0	0	0	949	0	0	318	0	0	0	1	0	0	0	0	0	0	0	51	11	1	0	0	7	0	18	24	2	0	0	1	0	0	0	0	0	4	3	0	0	6	0	12	1	1	2	2	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella stercorea	15	3	18	38	9	3	39	23	35	0	41	1	7	11	18	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	6	23	0	0	0	1	0	0	0	0	31	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	320	148	312	1408	115	132	299	189	206	2211	240	377	346	205	1067	363	3359	285	1957	1197	795	589	2415	315	400	2713	1625	3250	397	514	2812	232	1269	313	370	2081	1262	1859	1144	191	2043	180	284	48	1054	1971	861	1544	630	1399	436	630	787	1735	2967	266	108	320	233	905	375	795	243	2586	401	330	242	2523	269	1441	143	938	930	487	1459	200	903	446	724	1128	1971	740	616	291	322	318	1126	1840	181	76	672	552	1893	422	633	1201	270	1681	58	662	335	670	1574	334	712	352	513	370	554	101	892	195	830	1620	597	48	2536	775	80	107	936	3418	821	236	1252	2838	1070	295	863	104	180	100	141	195	3238	1513	88	70	0	1046	160	150	629	774	365	64	211	774	234	472	1621	904	1361	204	220	282	39	137	148	677	486	123	577	855	1064	125	1088	742	1815	115	11	364	253	1	140	341	226	247	1270	613	352	64	633	1	62	72	53	5	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	5	0	2	0	1	0	0	0	1	0	4	1	2	8	3	1	0	4	0	6	2	2	3	2	19	0	5	1	1	5	15	1	0	0	0	2	2	1	13	0	3	1	0	0	1	1	12	0	1	0	0	0	0	2	0	0	0	0	1	0	2	0	1	4	48	1	0	2	0	5	0	15	0	0	6	0	1	4	0	0	1	115	1	14	6	0	5	1	3	1	1	1	2	5	0	0	0	65	0	17	0	5	0	1	1	6	11	0	0	0	15	0	2	10	2	0	0	0	0	1	122	0	1	32	0	93	8	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	8	8	2	0	2	8	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	28	1	11	0	0	5	0	0	2	0	0	0	3	0	4	0	0	5	0	0	0	0	0
k__Bacteria	0	0	1	124	0	0	1	0	0	12	0	1	1	0	1	4	0	3	6	2	0	0	13	0	0	0	0	12	0	0	5	0	33	9	0	42	3	0	1	0	0	229	392	0	0	5	20	0	6	8	22	0	4	0	0	2	0	0	115	5	15	21	0	0	0	2	0	0	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	19	0	0	0	0	0	0	19	0	3	0	0	812	11	0	54	66	2	1	3	0	0	0	2	0	0	20	0	0	0	2	1	1	1	0	0	45	0	10	0	0	4	0	8	0	0	0	0	0	0	0	5	1	0	0	0	125	2	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	3	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii;t__Methanobrevibacter smithii ATCC 35061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces turicensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces cardiffensis	0	0	1	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
