#OTU ID	TS195.2.298978	TS167.299073	TS14.299212	TS16.299068	TS37.299147	TS8.299198	TS33.299224	TS155.2.298990	TS26.299185	TS31.299055	TS91.2.299008	TS131.2.298993	TS39.299167	TS150.299173	TS117.298949	TS56.2.299192	TS2.299130	TS51.299145	TS50.2.299158	TS28.299120	TS27.299223	TS107.2.298960	TS106.2.299179	TS20.299059	TS126.299046	TS15.2.299128	TS126.2.298986	TS49.298982	TS132.299044	TS168.2.298985	TS15.299020	TS61.2.299186	TS192.299012	TS25.299024	TS63.2.299109	TS153.299184	TS50.299027	TS137.298959	TS168.299115	TS125.2.299067	TS183.2.299060	TS19.2.298956	TS74.2.299132	TS169.2.298975	TS186.299199	TS182.2.299113	TS181.299047	TS116.299165	TS32.299074	TS120.2.299136	TS94.299193	TS140.2.299087	TS88.2.299002	TS109.2.299100	TS156.299155	TS94.2.299160	TS6.2.299094	TS9.299144	TS106.299035	TS33.2.299054	TS133.299149	TS95.299180	TS107.299042	TS160.298976	TS3.298967	TS182.299201	TS86.2.299219	TS166.2.298980	TS169.298977	TS86.299064	TS29.298974	TS162.2.299140	TS115.298998	TS191.299146	TS162.299124	TS32.2.298970	TS143.299098	TS161.299188	TS184.299203	TS56.299021	TS57.299197	TS185.299148	TS5.299045	TS142.2.298963	TS118.2.298966	TS19.298958	TS13.299018	TS195.299150	TS149.298994	TS181.2.299083	TS35.298981	TS84.2.298962	TS6.299086	TS51.2.299062	TS179.298987	TS55.2.298952	TS136.299091	TS166.299085	TS154.2.299022	TS132.2.299033	TS65.299182	TS76.2.299161	TS116.2.299078	TS179.2.299016	TS178.299126	TS144.298946	TS144.2.299166	TS34.299217	TS155.299082	TS146.2.299211	TS5.2.298961	TS136.2.298983	TS30.2.299050	TS130.2.298955	TS8.2.299029	TS193.2.299051	TS134.299196	TS140.298995	TS109.299099	TS137.2.299107	TS138.299141	TS95.2.299006	TS89.299011	TS30.298973	TS43.299095	TS142.299170	TS110.299019	TS49.2.299169	TS26.2.299028	TS152.2.299097	TS92.299206	TS83.2.299171	TS134.2.298989	TS139.2.299031	TS91.299152	TS147.2.299003	TS103.2.299213	TS4.299175	TS61.299129	TS22.299221	TS7.2.299010	TS141.2.299017	TS156.2.299036	TS124.2.299092	TS127.299133	TS97.299015	TS103.299049	TS98.2.299041	TS148.299000	TS37.2.299096	TS178.2.299168	TS87.299172	TS128.2.299216	TS82.2.299057	TS119.299110	TS111.2.298964	TS194.299181	TS151.2.298991	TS66.2.299157	TS12.2.299176	TS39.2.299009	TS27.2.299025	TS71.298968	TS110.2.299101	TS10.2.299108	TS38.298997	TS38.2.299081	TS78.2.299070	TS138.2.299162	TS100.298999	TS67.2.299127	TS100.2.298944	TS96.299089	TS170.2.299205	TS180.299063	TS128.299117	TS127.2.299143	TS25.2.299001	TS75.299153	TS88.299013	TS62.2.299088	TS124.298945	TS76.299071	TS31.2.299187	TS7.299061	TS74.299177	TS165.298951	TS104.299154	TS183.298979	TS20.2.299090	TS141.299084	TS77.299105	TS90.298953	TS21.299189	TS44.299183	TS83.299134	TS145.2.299151	TS89.2.299023	TS165.2.299138	TS163.2.299114	TS92.2.299118	TS152.299135	TS1.299139	TS64.2.299164	TS64.299137	TS75.2.298948	TS105.299210	TS143.2.299034	TS139.299195	TS96.2.299214	TS63.299005	TS145.298950	TS117.2.299030	TS71.2.299080	TS68.2.298971	TS131.299040	TS55.298947	TS118.299163	TS11.298996	TS84.299191	TS115.2.299043	TS97.2.299190	TS147.299111	TS151.299215	TS164.299125	TS135.299142	TS78.299102	TS23.299159	TS85.299053	TS190.299218	TS9.2.298969	TS193.299075	TS129.2.299037	TS12.299104	TS4.2.298988	TS98.299220	TS133.2.299076	TS167.2.299004	TS10.299123	TS125.298984	TS21.2.299079	TS194.2.299056	TS119.2.299032	TS69.299058	TS101.2.299207	TS85.2.299119	TS185.2.298957	TS3.2.299103	TS11.2.299208	TS65.2.299065	TS57.2.299112	TS13.2.298954	TS164.2.299007	TS70.2.299052	TS2.2.299116	TS135.2.299222	TS73.299077	TS129.299204	TS146.299014	TS105.2.299038	TS163.299072	TS70.299093	TS67.299039	TS69.2.298972	TS1.2.299121	TS68.299202	TS82.299048	TS90.2.299200	TS87.2.298965	TS72.299209	TS62.299066	TS130.299178	TS111.299174	TS99.2.299069	TS66.299194	TS160.2.299131	TS17.299122	TS120.298992	TS72.2.299026	TS104.2.299106	TS170.299156
NR_147401.1_Sutterella_massiliensis_strain_Marseille-P2435_16S_ribosomal_RNA__partial_sequence	21	0	3	0	0	69	78	1	0	1	0	0	0	0	157	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	191	0	0	0	0	4	2	0	50	0	11	370	78	2	36	0	0	11	3	0	0	0	0	0	0	34	1	0	0	0	0	4	0	0	0	13	0	0	125	0	8	0	0	99	0	0	0	0	0	24	2	135	2	0	0	0	0	0	0	0	0	0	0	0	3	3	21	0	8	29	0	4	0	0	0	0	31	8	0	0	23	0	0	0	0	22	0	0	0	0	25	0	0	0	3	13	70	0	0	135	0	0	0	1	163	0	0	0	44	49	0	142	1	2	0	0	0	0	0	1	0	198	0	0	7	0	0	0	1	3	1	0	23	0	3	0	0	0	0	0	0	0	0	0	0	7	0	27	0	0	0	0	0	101	21	2	159	0	1	9	19	0	0	0	0	4	14	9	0	0	2	5	0	0	72	175	0	0	0	0	0	0	0	1	32	0	0	0	0	12	0	0	31	0	0	0	0	0	0	0	0	0	0	8	0	0	24	0	0	0	0	0	0	0	16	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	3	0	0	0
NR_025930.1_Ruminococcus_bromii_strain_ATCC_27255_16S_ribosomal_RNA_gene__partial_sequence	0	122	447	146	0	514	0	21	0	575	47	0	58	0	31	0	435	3	0	155	1600	0	0	746	0	3	14	0	7	40	35	111	0	1	54	32	117	26	23	0	3	0	90	19	0	45	99	0	0	0	36	0	45	42	28	100	4	81	0	0	27	0	0	5	132	44	15	116	29	62	6	0	5	0	0	0	0	8	7	31	6	1	7	0	0	1	0	0	0	28	8	0	170	0	0	0	0	1	58	8	0	0	0	1	0	0	0	10	2	126	0	0	8	0	0	51	0	0	12	7	94	0	26	98	14	0	116	0	0	153	0	12	0	47	13	119	0	1	11	0	0	10	76	24	0	22	0	0	65	1	0	42	60	37	56	95	22	105	92	0	3	2	29	5	0	14	1	0	0	13	41	18	14	0	0	37	0	0	0	0	3	52	0	53	4	87	102	0	16	0	1	0	1	1	0	33	32	46	99	0	2	61	170	89	0	2	13	25	115	43	13	0	27	0	45	0	0	0	0	0	0	0	82	46	0	19	0	0	63	63	1	20	18	0	0	65	22	67	0	1	24	27	33	0	2	26	0	4	0	0	3	9	0	25	23	51	47	9	14	5	0	10	6	43	9	20	0	0	17	75	4	1	34	34	0	3	14	0	1	0	0
NR_025230.1_Megasphaera_micronuciformis_strain_AIP_412.00_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024994.1_Lactobacillus_mucosae_strain_S32_16S_ribosomal_RNA_gene__complete_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024750.1_Coprococcus_catus_strain_VPI-C6-61_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	13	0	0	52	2	47	24	16	0	0	0	0	0	0	0	0	20	16	0	0	0	0	0	0	0	10	0	1	0	11	52	0	5	0	9	0	0	0	0	0	26	0	4	1	0	9	0	4	1	0	0	2	1	4	0	0	4	0	0	0	3	0	2	2	0	9	2	0	9	2	8	6	15	0	0	0	0	0	1	46	3	1	0	1	0	0	1	10	0	7	0	0	1	2	0	2	10	6	6	0	3	0	1	2	0	0	4	4	5	0	0	0	0	0	5	0	4	4	0	0	0	5	1	3	0	37	0	0	12	0	0	4	15	2	8	0	0	0	4	0	0	5	2	0	0	0	0	0	7	0	2	0	8	0	0	2	0	0	21	7	3	0	0	0	0	2	7	2	10	2	0	2	0	3	11	0	0	0	0	3	6	0	0	2	2	0	0	0	0	0	0	0	5	0	2	0	0	0	0	13	0	0	0	0	0	0	3	0	0	0	1	4	0	0	0	0	0	1	11	2	0	6	0	0	0	3	0	0	0	0	0	12	0	11	2	0	0	0	0	0	0	3	0	1	0	0	12	0	0	14	4	0	0	0	0	5	0	0	4	0	2	1	1	1	0	0	5	0	0	10	0	0	3	0	0	1	0	0
NR_024684.1_Eubacterium_nitritogenes_strain_JCM_6485_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024661.1_Eubacterium_ruminantium_strain_GA195_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	1	1	0	2	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	1	0	0	1	0	2	0	2	0	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NR_024643.1_Enterobacter_aerogenes_strain_JCM1235_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_024733.1_Coprobacillus_cateniformis_strain_JCM_10604_16S_ribosomal_RNA_gene__partial_sequence	2	0	2	0	1	0	0	0	0	0	0	0	5	0	2	5	0	37	0	0	15	0	0	4	0	0	0	10	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	2	0	0	0	0	0	2	0	2	0	2	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	6	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
NR_024712.1_Mogibacterium_vescum_strain_ATCC_700697_16S_ribosomal_RNA_gene__partial_sequence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
